file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,52,css,0b4a6bff,Coco-Juice,2025-10-15,14:02:08,-07:00,2025-10-15T14:02:08-07:00,0,16
style.css,53,css,0b4a6bff,Coco-Juice,2025-10-15,14:02:08,-07:00,2025-10-15T14:02:08-07:00,0,15
style.css,54,css,0b4a6bff,Coco-Juice,2025-10-15,14:02:08,-07:00,2025-10-15T14:02:08-07:00,0,6
style.css,55,css,0b4a6bff,Coco-Juice,2025-10-15,14:02:08,-07:00,2025-10-15T14:02:08-07:00,0,8
style.css,56,css,0b4a6bff,Coco-Juice,2025-10-15,14:02:08,-07:00,2025-10-15T14:02:08-07:00,0,10
style.css,57,css,0b4a6bff,Coco-Juice,2025-10-15,14:02:08,-07:00,2025-10-15T14:02:08-07:00,0,11
style.css,58,css,0b4a6bff,Coco-Juice,2025-10-15,14:02:08,-07:00,2025-10-15T14:02:08-07:00,0,0
style.css,59,css,0b4a6bff,Coco-Juice,2025-10-15,14:02:08,-07:00,2025-10-15T14:02:08-07:00,0,0
style.css,60,css,446e8541,Coco-Juice,2025-10-31,10:13:48,-07:00,2025-10-31T10:13:48-07:00,0,14
style.css,61,css,446e8541,Coco-Juice,2025-10-31,10:13:48,-07:00,2025-10-31T10:13:48-07:00,0,0
style.css,62,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,12
style.css,63,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,14
style.css,64,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,12
style.css,65,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,13
style.css,66,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,16
style.css,67,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,16
style.css,68,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,39
style.css,69,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,15
style.css,70,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,31
style.css,71,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,0
style.css,72,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,0
style.css,73,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,15
style.css,74,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,14
style.css,75,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,16
style.css,76,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,8
style.css,77,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,0
style.css,78,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,0
style.css,79,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,15
style.css,80,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,10
style.css,81,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,34
style.css,82,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,8
style.css,83,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,6
style.css,84,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,7
style.css,85,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,0
style.css,86,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,0
style.css,87,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,15
style.css,88,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,8
style.css,89,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,13
style.css,90,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,8
style.css,91,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,0
style.css,92,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,0
style.css,93,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,15
style.css,94,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,8
style.css,95,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,6
style.css,96,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,14
style.css,97,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,11
style.css,98,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,0
style.css,99,css,9eaea951,Coco-Juice,2025-10-22,13:00:42,-07:00,2025-10-22T13:00:42-07:00,0,0
style.css,100,css,9b56cfee,Coco-Juice,2025-10-08,21:55:04,-07:00,2025-10-08T21:55:04-07:00,0,0
style.css,101,css,9b56cfee,Coco-Juice,2025-10-08,21:55:04,-07:00,2025-10-08T21:55:04-07:00,0,3
style.css,102,css,9b56cfee,Coco-Juice,2025-10-08,21:55:04,-07:00,2025-10-08T21:55:04-07:00,0,0
style.css,103,css,9b56cfee,Coco-Juice,2025-10-08,21:55:04,-07:00,2025-10-08T21:55:04-07:00,0,0
style.css,104,css,8f94c018,Coco-Juice,2025-10-07,19:49:35,-07:00,2025-10-07T19:49:35-07:00,0,2
style.css,105,css,8f94c018,Coco-Juice,2025-10-07,19:49:35,-07:00,2025-10-07T19:49:35-07:00,0,10
style.css,106,css,8f94c018,Coco-Juice,2025-10-07,19:49:35,-07:00,2025-10-07T19:49:35-07:00,0,28
style.css,107,css,8f94c018,Coco-Juice,2025-10-07,19:49:35,-07:00,2025-10-07T19:49:35-07:00,0,5
style.css,108,css,fdd657db,Coco-Juice,2025-10-07,19:10:48,-07:00,2025-10-07T19:10:48-07:00,0,0
style.css,109,css,001cb8e2,Coco-Juice,2025-10-10,22:21:52,-07:00,2025-10-10T22:21:52-07:00,0,2
style.css,110,css,001cb8e2,Coco-Juice,2025-10-10,22:21:52,-07:00,2025-10-10T22:21:52-07:00,1,27
style.css,111,css,429fd521,Coco-Juice,2025-10-08,17:59:56,-07:00,2025-10-08T17:59:56-07:00,1,10
style.css,112,css,429fd521,Coco-Juice,2025-10-08,17:59:56,-07:00,2025-10-08T17:59:56-07:00,0,0
style.css,113,css,429fd521,Coco-Juice,2025-10-08,17:59:56,-07:00,2025-10-08T17:59:56-07:00,0,0
style.css,114,css,8f94c018,Coco-Juice,2025-10-07,19:49:35,-07:00,2025-10-07T19:49:35-07:00,0,21
style.css,115,css,8f94c018,Coco-Juice,2025-10-07,19:49:35,-07:00,2025-10-07T19:49:35-07:00,1,10
style.css,116,css,8f94c018,Coco-Juice,2025-10-07,19:49:35,-07:00,2025-10-07T19:49:35-07:00,0,0
style.css,117,css,4373a1a9,Coco-Juice,2025-10-08,18:38:12,-07:00,2025-10-08T18:38:12-07:00,0,0
style.css,118,css,001cb8e2,Coco-Juice,2025-10-10,22:21:52,-07:00,2025-10-10T22:21:52-07:00,0,4
style.css,119,css,001cb8e2,Coco-Juice,2025-10-10,22:21:52,-07:00,2025-10-10T22:21:52-07:00,0,16
style.css,120,css,001cb8e2,Coco-Juice,2025-10-10,22:21:52,-07:00,2025-10-10T22:21:52-07:00,0,18
style.css,121,css,001cb8e2,Coco-Juice,2025-10-10,22:21:52,-07:00,2025-10-10T22:21:52-07:00,0,0
style.css,122,css,4373a1a9,Coco-Juice,2025-10-08,18:38:12,-07:00,2025-10-08T18:38:12-07:00,0,0
style.css,123,css,9b56cfee,Coco-Juice,2025-10-08,21:55:04,-07:00,2025-10-08T21:55:04-07:00,0,0
